date,ACB,BCM,BID,BMP,BVH,CII,CTD,CTG,DGC,DHG,DPM,EIB,FPT,GAS,GMD,GVR,HDB,HPG,HSG,KDC,KDH,LPB,MBB,MSN,MWG,NT2,NVL,PDR,PLX,PNJ,POW,REE,SAB,SBT,SHB,SSB,SSI,STB,TCB,TCH,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VPL,VRE
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-02,3.09,,,,,,,,,29.35,7.18,7.73,,,10.64,,,3.09,5.92,,4.91,,2.86,38.19,6.94,,,3.44,,,,,,,,,,13.6,,,,,,,,,,,,
2015-10-09,3.27,,,,,,,,,30.45,7.36,7.54,,,11.91,,,3.24,6.02,,4.98,,2.82,38.19,7.61,,,3.32,,,,,,,,,,15.01,,,,,,,,,,,,
2015-10-16,3.28,,,,,,,,,29.57,7.45,7.6,,,12.03,,,3.2,6.2,,5.0,,2.78,38.45,7.83,,,3.3,,,,,,,,,,14.8,,,,,,,,,,,,
2015-10-23,3.3,,,,,,,,,30.45,7.43,7.67,,,13.33,,,3.18,6.3,,5.04,,2.73,38.19,7.61,,,3.25,,,,,,,,,,14.3,,,,,,,,,,,,
2015-10-30,3.3,,,,,,,,,31.11,7.52,7.67,,,13.27,,,3.15,6.51,,5.28,,2.73,38.19,8.28,,,3.01,,,,,,,,,,13.6,,,,,,,,,,,,
2015-11-06,3.27,,,,,,,,,30.23,7.68,7.54,,,12.53,,,3.1,6.2,,5.6,,2.69,38.45,8.17,,,3.09,,,,,,,,,,12.9,,,,,,,,,,,,
2015-11-13,3.25,,,,,,,,,30.45,7.43,7.54,,,12.76,,,3.01,6.14,,5.65,,2.82,37.94,8.73,,,3.09,,,,,,,,,,12.5,,,,,,,,,,,,
2015-11-20,3.17,,,,,,,,,30.23,7.47,7.34,,,12.53,,,2.99,6.16,,5.68,,2.76,37.42,8.84,,,3.44,,,,,,,,,,12.3,,,,,,,,,,,,
2015-11-27,3.08,,10.69,31.66,44.44,14.95,,,,29.13,7.2,7.08,,21.25,12.24,,,3.13,5.78,,5.47,,2.71,35.61,8.67,10.43,,3.2,,,,,,,,,,11.7,,,,13.31,,,,,46.33,,,
2015-12-04,3.08,,10.44,31.66,40.0,15.02,,,,29.13,7.18,6.82,8.92,19.97,12.01,,,3.03,5.87,,5.57,,2.69,37.16,8.5,10.94,,3.06,,,,,,,,,,11.4,,,,12.71,,,,,45.96,,,
2015-12-11,3.08,,10.09,32.66,41.21,14.82,,,,28.04,7.18,7.08,8.94,19.02,12.7,,,2.98,6.07,,5.52,,2.65,36.65,8.45,10.7,,3.09,,,,,,,,,6.32,12.0,,,,12.41,,,11.2,,45.96,,,
2015-12-18,3.05,,10.69,33.9,40.4,14.68,,7.86,,29.13,6.95,7.34,9.11,18.63,13.25,,,3.04,5.98,,5.94,,2.67,36.65,8.78,10.55,,3.2,,,,,,,,,6.51,11.8,,,,12.38,,,10.8,,47.83,,,
2015-12-25,3.05,,10.24,32.41,42.42,14.82,,7.69,8.47,28.48,7.13,7.15,8.9,18.58,13.25,,,2.95,5.78,,5.62,,2.65,38.71,8.67,10.16,,3.13,,,,,,,,,6.26,11.7,,,,12.77,,,11.44,,46.33,,,
2016-01-01,3.14,,10.34,32.91,42.83,14.88,,7.9,8.97,29.13,7.18,7.28,9.0,17.94,13.8,,,2.92,5.73,,5.65,,2.76,40.0,8.78,10.32,,3.16,,,,,,,,,6.26,13.1,,,,13.19,,,12.34,,47.83,,,
2016-01-08,3.03,,9.44,31.4,42.02,15.44,,7.52,8.85,28.48,7.11,7.08,8.62,17.34,13.06,,,2.77,5.71,,5.55,,2.61,39.49,8.39,10.36,,3.2,,,,,,,,,5.58,12.6,,,,12.68,,,12.96,,45.59,,,
2016-01-15,3.03,,8.93,30.9,38.22,15.37,,7.48,8.51,27.6,6.88,7.28,8.59,16.99,12.8,,,2.55,5.35,14.54,5.36,,2.59,36.13,8.11,10.36,,3.11,,,,,,,,,5.58,11.1,,,,12.2,,,12.82,,44.84,,,
2016-01-22,2.95,,7.53,29.64,37.9,15.09,,6.84,8.65,27.38,6.79,6.69,8.34,15.85,12.7,,,2.56,4.58,14.68,5.26,,2.57,36.65,7.61,10.28,,3.09,,,,,,,,,5.53,10.9,,,,11.9,,,13.04,,42.6,,,
2016-01-29,3.01,,8.43,30.4,41.21,15.44,,7.31,8.76,28.92,7.08,6.82,8.64,19.42,13.02,,,2.75,5.2,15.44,5.49,,2.73,37.42,8.05,10.24,,3.09,,,,,,,,,5.78,11.3,,,,12.44,,,12.85,,43.34,,,
2016-02-05,3.03,,8.23,30.65,40.32,15.5,,7.31,8.95,31.98,7.23,7.02,8.74,18.83,13.25,,,2.7,5.11,15.72,5.49,,2.78,37.94,8.22,10.2,,3.09,,,,,,,,,5.92,11.2,,,,12.05,,,12.58,,46.33,,,
2016-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,3.05,,8.28,32.15,40.4,15.5,,7.31,9.15,34.61,7.01,6.82,8.88,21.06,12.89,,,2.7,5.18,15.44,5.62,,2.93,36.9,8.28,10.36,,3.09,,,,,,,,,5.98,11.0,,,,12.05,,,12.17,,48.2,,,
2016-02-26,3.16,,9.24,32.66,42.02,15.44,,7.77,8.97,38.12,7.01,6.82,8.88,21.06,12.93,,,2.84,5.49,16.76,5.57,,2.84,38.19,8.45,10.32,,3.11,,,,9.36,,,,,6.34,11.2,,,,12.62,,,12.15,,48.58,,,
2016-03-04,3.13,,9.09,34.92,44.44,15.92,,7.56,8.95,38.12,7.38,6.76,9.13,22.94,12.7,,,2.75,5.69,16.9,5.49,,2.84,38.45,8.89,10.9,,3.3,,,,9.59,,,,,6.43,11.0,,,,12.56,,,12.36,,49.32,,,
2016-03-11,3.08,,8.88,33.91,43.23,16.4,,7.39,8.76,37.9,7.16,6.69,9.03,23.83,13.19,,,2.88,6.31,17.39,5.94,,2.82,37.94,8.89,11.01,,3.37,,,,9.4,,,,,6.43,11.0,,,,12.5,,,12.25,,50.82,,,
2016-03-18,3.03,,8.83,35.92,43.23,16.26,,7.35,8.32,37.24,7.13,6.76,9.18,23.91,12.96,,,2.97,6.49,16.9,6.23,,2.8,36.9,8.61,11.56,,3.28,,,,9.44,,,,,6.2,10.4,,,,12.77,,,11.9,,51.56,,,
2016-03-25,2.95,,8.68,37.93,42.42,16.06,,7.18,7.99,37.46,7.13,6.69,8.92,23.39,12.73,,,2.9,6.27,16.7,6.02,,2.76,38.19,8.78,12.57,,3.39,,,,9.28,,,,,6.09,10.4,,,,12.86,,,12.36,,50.07,,,
2016-04-01,2.9,,8.33,36.42,39.75,16.61,,6.92,7.74,36.8,7.11,6.82,8.72,21.48,12.53,,,2.9,6.24,16.35,5.99,,2.67,36.65,8.45,12.37,,3.54,,,,9.13,,,,,5.98,10.3,,,,12.29,,,12.74,,50.07,,,
2016-04-08,2.93,,8.43,37.68,40.81,17.43,,7.09,8.27,39.21,7.11,6.76,8.87,22.82,12.53,,,3.08,7.2,17.67,6.07,,2.73,35.87,8.56,12.68,,3.61,,,,8.98,,,1.84,,6.12,10.1,,,,12.44,,,12.82,,53.43,,,
2016-04-15,2.84,,8.03,36.68,42.42,17.16,,6.88,8.41,39.21,7.11,6.76,8.79,23.96,12.67,,,3.13,7.27,17.39,6.15,,2.71,35.87,8.5,12.88,,3.75,,,,8.83,,,1.84,,6.09,10.1,,,,12.77,,,14.04,,53.43,,,
2016-04-22,2.89,,8.53,35.17,44.85,17.23,71.27,7.14,8.21,37.46,7.23,6.82,8.9,25.62,12.76,,,3.27,8.22,17.32,6.02,,2.82,35.61,8.28,12.1,,3.58,,,,9.02,,16.36,1.84,,6.06,10.2,,,,13.73,,,14.71,,52.31,,,
2016-04-29,2.84,,8.78,35.42,49.29,17.09,72.95,7.05,8.04,37.02,7.28,6.89,9.05,26.39,13.48,,,3.35,9.12,18.3,5.99,,2.86,36.13,8.39,12.39,,3.42,,11.71,,8.94,,16.26,1.84,,6.03,10.3,,,,13.82,,,14.17,,51.94,,,
2016-05-06,2.82,,9.09,35.92,48.08,17.23,73.37,7.35,7.73,37.46,7.43,6.89,8.85,26.13,13.41,,,3.41,9.7,18.5,5.99,,2.9,37.42,8.95,12.18,,3.47,,11.61,,9.1,,16.46,1.81,,6.03,10.3,,,,14.6,,,14.17,,53.06,,,
2016-05-13,2.97,,9.39,35.92,47.27,17.71,76.18,7.52,7.64,37.24,7.4,7.34,8.83,27.95,13.84,,,3.33,8.96,18.09,6.02,,2.86,36.39,8.67,12.52,,3.47,,12.22,,8.99,,15.28,1.9,,5.7,11.7,,,,14.3,,,14.44,,53.81,,,
2016-05-20,3.03,,9.19,36.29,48.08,17.64,74.45,7.43,7.51,36.78,7.53,7.8,8.92,29.76,14.65,,,3.32,9.02,18.85,5.99,,2.97,35.87,8.78,12.64,,3.51,,12.42,,9.07,,15.48,1.84,,5.84,11.9,,,,14.24,,,13.9,,54.55,,,
2016-05-27,2.93,,8.93,35.78,46.87,17.5,75.75,7.39,7.68,35.64,7.27,8.19,8.97,29.24,14.4,,,3.33,9.62,18.5,6.02,,2.92,35.61,9.64,12.85,,3.61,,12.22,,9.12,,15.82,1.81,,5.86,11.3,,,,13.61,,,13.9,,53.43,,,
2016-06-03,2.93,,9.19,34.74,48.08,17.71,77.48,7.56,7.59,35.64,7.21,7.93,8.9,31.31,14.86,,,3.57,10.82,18.78,6.15,,2.92,35.61,10.04,13.27,,3.47,,13.54,,9.03,,15.58,1.81,,6.0,11.3,,,,14.21,,,14.58,,52.69,,,
2016-06-10,3.01,,9.34,35.0,52.12,17.85,80.94,7.56,7.53,37.92,7.27,7.67,8.86,31.31,14.81,,,3.71,11.64,19.51,5.99,,2.92,36.13,10.72,13.23,,3.49,,13.44,,9.38,,18.08,1.78,,6.2,11.5,,,,14.57,,,14.58,,51.93,,,
2016-06-17,3.03,,9.03,36.29,47.67,17.64,84.4,7.18,7.5,38.84,7.21,7.67,8.84,30.79,14.3,,,3.75,11.4,18.93,5.96,,2.88,36.65,11.43,13.44,,3.51,,13.44,,9.12,,15.92,1.75,,5.78,11.3,,,,14.15,,,14.04,,51.93,,,
2016-06-24,3.05,,8.88,37.33,47.27,17.98,84.4,7.09,8.24,42.04,7.19,7.41,8.94,31.05,13.79,,,3.89,11.29,19.8,5.89,,2.82,34.84,13.94,14.62,,3.37,,14.87,,8.99,,15.28,1.72,,5.72,11.3,,,,14.06,,,14.04,,51.93,,,
2016-07-01,3.01,,8.73,38.63,49.1,18.12,84.84,7.22,9.19,46.15,7.21,7.41,9.16,33.9,13.63,,,3.99,12.22,20.16,5.99,,2.84,34.58,14.06,14.87,,3.3,,15.28,,8.9,,15.33,1.72,,5.81,11.3,,,,14.27,,,15.3,,54.2,,,
2016-07-08,2.97,,8.93,42.26,49.92,18.95,90.9,7.31,8.92,47.52,7.42,7.21,9.54,34.16,14.35,,,4.28,13.61,20.23,6.12,,2.86,34.58,14.86,14.62,,3.3,,16.5,,8.99,,16.02,1.78,,6.4,11.2,,,,15.32,,,15.44,,55.72,,,
2016-07-15,3.01,,9.29,43.04,51.15,18.47,92.2,7.94,9.18,42.27,7.66,7.99,9.32,33.12,13.94,,,4.07,12.19,20.81,5.96,,2.93,34.84,15.66,14.37,,3.04,,14.26,,9.12,,16.46,1.78,,6.62,11.9,,,,16.22,,,16.34,,55.72,,,
2016-07-22,2.87,,8.88,42.26,49.1,18.15,96.96,7.56,8.88,41.35,7.68,7.02,9.03,31.83,13.58,,,4.03,11.08,20.23,5.99,,2.88,34.58,15.43,14.49,,3.09,,13.95,,8.94,,16.36,1.72,,6.34,11.1,,,,15.62,,,15.0,,59.13,,,
2016-07-29,2.87,,8.83,42.26,48.28,18.36,96.09,7.56,8.99,42.27,7.58,7.73,8.97,30.27,13.48,,,4.46,11.46,20.88,6.07,,2.84,33.03,15.31,14.74,,3.04,,13.04,,8.99,,16.07,1.7,,6.46,11.3,,,,16.22,,,15.3,,59.89,,,
2016-08-05,2.79,,8.38,38.11,47.46,17.94,89.17,7.26,8.69,39.52,7.42,7.15,8.86,30.79,13.38,,,4.32,11.26,20.01,6.04,,2.8,31.74,15.09,14.62,,2.99,,12.73,,8.46,,16.12,1.56,,6.06,11.0,,,,15.32,,,13.41,,59.89,,,
2016-08-12,2.81,,8.58,39.15,48.69,17.94,92.2,7.43,8.88,43.64,7.5,6.95,9.1,32.6,14.1,,,4.59,11.9,20.59,6.83,,2.82,31.23,15.66,15.08,,3.04,,14.05,,8.86,,16.95,1.58,,6.15,10.9,,,,16.37,,,14.7,,63.68,,,
2016-08-19,2.79,,8.33,40.7,49.1,19.21,96.96,7.26,9.18,43.86,7.42,7.15,9.27,33.38,14.97,,,4.83,11.87,26.08,7.04,,2.8,34.84,17.37,15.43,,3.06,,14.66,,8.81,,17.14,1.53,,6.12,10.6,,,,16.07,,,14.3,,66.89,,,
2016-08-26,2.84,,8.23,41.48,49.1,19.77,98.26,7.39,9.18,44.09,7.45,7.28,9.4,32.86,14.61,,,5.06,12.31,27.38,6.85,,2.82,32.52,16.34,15.34,,2.97,,13.95,,8.86,,17.44,1.56,,6.12,10.5,,,,17.27,,,14.4,,68.29,,,
2016-09-02,2.84,,8.23,42.52,50.33,19.99,107.34,7.31,9.74,44.55,7.53,7.21,9.73,32.86,14.3,,,5.04,12.8,27.89,6.83,,2.8,34.58,16.34,15.3,,3.01,,14.16,,8.77,,17.19,1.47,,6.03,10.2,,,,15.77,,,14.4,,72.03,,,
2016-09-09,2.81,,8.18,44.33,49.1,20.55,115.14,7.39,10.27,47.98,7.42,6.82,9.99,33.38,14.45,,,5.26,12.74,27.53,7.01,,2.82,35.61,16.0,15.38,,3.04,,14.77,,8.9,,16.61,1.47,,6.09,9.9,,,,16.02,,,14.64,,66.89,,,
2016-09-16,2.74,,7.96,45.24,47.87,20.8,112.84,7.2,10.4,51.22,7.09,6.95,9.84,32.71,14.02,,,5.29,12.22,26.41,6.96,,2.79,33.55,15.33,14.9,,2.85,,14.28,,8.88,,15.55,1.3,,5.86,9.4,,,,14.49,,,15.8,,64.55,,,
2016-09-23,2.76,,8.06,45.5,53.52,20.3,104.75,7.18,11.17,49.35,7.38,6.89,10.37,35.5,14.56,,,5.45,12.07,28.44,7.28,,2.79,36.65,15.66,16.04,,3.11,,15.28,,9.66,,15.14,1.33,,6.09,9.5,,,,15.46,,,16.29,,65.48,,,
2016-09-30,2.9,,8.53,50.24,58.02,20.83,112.37,7.2,12.26,51.18,7.4,6.69,10.2,36.74,15.02,,,5.43,12.22,28.33,7.41,,2.82,36.29,15.91,16.61,,3.05,,15.28,,9.42,,15.18,1.3,,6.29,9.32,,,,15.85,,,16.35,,65.48,,,
2016-10-07,3.01,,8.53,50.81,58.51,21.33,107.78,7.35,11.49,50.95,7.4,6.76,9.85,36.94,14.33,,,4.88,11.26,28.03,7.51,,2.83,35.36,15.37,16.92,,3.04,,15.28,,9.16,,15.01,1.39,,6.29,9.53,,8.37,,15.71,,,15.72,,66.23,,,
2016-10-14,3.06,,8.53,51.85,58.1,21.61,110.42,7.24,11.62,50.08,7.32,6.73,9.59,36.89,14.25,,,4.8,11.05,28.36,7.47,,2.81,35.2,16.91,16.08,,3.04,,15.03,,9.29,,16.8,1.44,,6.27,9.21,,11.67,,15.4,,,15.8,,67.36,,,
2016-10-21,3.08,,8.83,52.71,55.81,21.4,101.53,7.28,9.84,46.15,7.34,6.82,9.49,35.95,14.04,,,4.87,11.46,28.51,7.36,,2.83,34.22,17.26,15.34,,3.28,,14.66,,9.01,,16.61,1.58,,6.36,9.25,,11.82,,15.19,,,15.8,,67.45,,,
2016-10-28,3.08,,8.58,52.06,54.83,20.48,107.3,7.22,9.76,45.65,7.2,6.69,9.54,35.43,14.04,,,4.85,11.58,27.24,7.36,,2.83,33.91,16.97,15.34,,3.16,,14.01,,9.2,,16.86,1.56,,6.14,8.87,,12.3,,15.03,,,15.74,,67.03,,,
2016-11-04,3.01,,8.56,51.33,51.15,19.77,103.55,7.05,9.16,45.01,7.15,6.56,9.22,34.23,13.45,,,4.71,11.65,27.01,7.36,,2.76,33.6,17.31,15.38,,3.47,,14.05,,8.99,,15.72,1.5,,5.96,8.38,,9.66,,14.49,,,15.58,,65.91,,,
2016-11-11,3.03,,8.3,51.85,52.37,20.34,104.02,6.99,9.24,44.64,7.19,6.5,9.4,35.48,13.48,,,4.87,12.51,26.71,7.15,,2.74,33.29,18.08,15.34,,3.45,,14.36,,9.27,,15.27,1.53,,6.05,8.24,,9.07,,15.0,,,16.16,,65.72,,,
2016-11-18,3.0,,8.09,50.53,50.33,20.8,100.26,6.9,9.16,45.14,7.27,6.24,9.43,35.02,13.53,,,4.91,12.93,25.96,7.12,,2.68,32.72,17.83,15.08,,3.44,,14.05,,9.6,,15.21,1.53,,5.9,7.88,,9.49,,14.71,,,15.65,,64.17,,,
2016-11-25,3.08,,8.4,50.55,50.82,21.04,97.38,6.9,8.88,45.46,7.21,6.29,9.61,35.43,14.1,,,4.96,13.79,26.34,7.01,,2.65,35.1,18.63,14.68,,3.38,,14.47,,9.47,,15.4,1.47,,5.93,8.1,,8.35,,14.82,,,15.61,,62.91,,,
2016-12-02,3.08,,8.09,50.42,47.87,20.76,97.44,6.86,8.88,44.78,6.63,6.04,9.39,35.38,13.74,,,5.01,14.43,25.06,7.08,,2.64,32.41,18.86,13.54,,3.28,,14.28,,9.62,,15.66,1.44,,5.82,7.74,,7.82,,14.61,,,15.43,,63.15,,,
2016-12-09,2.98,,7.8,49.44,48.04,20.76,102.4,6.54,8.6,44.05,6.29,6.37,9.38,34.39,13.79,,,4.86,13.45,23.71,7.03,,2.64,32.67,17.71,13.15,,3.26,,14.24,,9.73,58.08,15.15,1.39,,5.53,7.8,,8.88,,14.51,,,15.43,,63.52,,,
2016-12-16,3.0,,7.74,50.55,47.95,20.62,105.86,6.37,8.52,43.41,6.42,6.24,9.21,33.45,13.74,,,4.97,14.25,26.26,7.05,,2.61,33.55,17.53,12.1,,3.28,,14.11,,10.21,80.91,16.23,1.36,,5.67,8.2,,7.93,,14.53,,,15.61,,60.76,,,
2016-12-23,3.01,,7.72,50.24,48.77,20.13,105.23,6.46,8.6,43.32,6.36,6.24,9.33,33.49,13.53,,,5.1,14.92,25.51,7.05,,2.62,33.7,17.69,12.27,,3.21,,13.95,,10.47,71.92,16.23,1.33,,5.73,8.34,,7.78,,14.74,,,15.47,,58.0,,,
2016-12-30,3.06,,7.51,50.01,47.63,20.34,105.28,6.39,8.88,44.78,6.25,5.85,9.62,32.74,13.84,,,5.13,14.81,27.28,6.98,,2.78,33.45,17.83,12.18,25.64,3.21,,13.74,,10.75,72.18,15.59,1.39,,5.78,9.45,,7.58,,14.67,,,15.43,,58.75,,,
2017-01-06,3.5,,8.33,48.46,50.25,22.44,102.8,7.07,8.24,46.15,6.17,6.34,9.83,32.63,14.15,,,5.16,14.81,26.79,6.87,,2.73,34.13,18.03,12.2,25.26,3.18,,14.24,,10.91,75.21,15.97,1.45,,5.99,8.78,,7.6,,15.69,,,15.83,,58.94,,,
2017-01-13,3.74,,8.59,49.56,50.74,22.84,103.26,7.35,8.79,48.43,6.96,6.24,9.82,32.19,14.84,,,5.13,14.69,27.99,6.91,,2.73,33.86,18.23,13.03,25.18,3.2,,14.28,,10.95,77.32,15.91,1.45,,6.05,8.95,,7.49,,15.5,,1.35,15.91,,59.36,,,
2017-01-20,4.02,,8.8,49.62,49.84,22.01,107.82,7.92,8.3,50.17,6.6,6.23,9.67,31.38,14.3,,,5.01,14.17,27.99,6.91,,2.76,33.22,18.23,12.94,24.83,3.23,,14.24,,11.17,81.71,15.59,1.42,,5.95,9.5,,7.49,,15.73,,1.56,15.43,,59.4,,,
2017-01-27,4.11,,8.93,50.53,50.0,22.19,111.63,8.21,8.13,50.26,6.75,6.23,9.86,32.47,14.51,,,5.03,14.46,27.69,6.87,,2.81,33.42,18.29,12.94,25.86,3.38,,14.26,,11.21,81.71,15.46,1.45,,5.96,10.2,,7.55,,16.27,,1.65,15.43,,60.34,,,
2017-02-03,4.21,,9.09,50.4,51.88,22.4,109.32,8.17,7.7,51.4,6.74,7.08,9.78,32.14,14.35,,,5.13,14.28,27.69,6.87,,2.81,34.27,19.2,13.43,25.99,3.36,,14.49,,11.3,79.22,15.27,1.48,,6.05,10.05,,7.44,,16.02,,1.63,15.43,,62.63,,,
2017-02-10,4.16,,9.04,50.66,51.88,22.22,114.57,8.21,7.6,52.36,7.17,6.82,9.72,31.87,14.68,,,5.27,14.6,29.19,6.87,,2.81,34.03,19.23,13.94,25.09,3.4,,15.31,,11.95,77.84,15.15,1.51,,6.14,10.2,,7.26,,16.27,,1.65,15.61,,62.58,,,
2017-02-17,3.95,,8.93,50.14,51.56,23.85,118.84,8.37,8.0,51.4,6.82,6.69,9.91,31.82,16.3,,,5.26,14.46,28.89,7.5,,2.93,33.78,19.66,14.15,25.94,3.44,,15.5,,11.91,78.38,15.37,1.54,,6.21,11.0,,7.69,,15.85,,1.64,16.16,,60.81,,,
2017-02-24,3.95,,8.8,49.33,48.77,25.62,117.11,7.99,7.7,52.96,6.81,6.89,10.06,33.33,17.38,,,4.81,14.07,28.44,7.64,,2.92,33.78,18.97,14.17,27.86,3.55,,15.75,,11.56,82.87,15.37,1.51,,6.29,10.3,,7.35,,15.5,,1.66,16.62,,61.7,,,
